100;Kaļķošana
110;Aršana
115;Dziļirdināšana
120;Šķīvošana/diskošana
121;Lauka virsmas šļūkšana
122;Kultivēšana
125;Kombinētā augsnes pirmapstrāde (rugaines kultivators+diski+veltnis)
130;Sēšana, bez augsnes apstrādes
131;Sēšana kopā ar minerālmēslu iestrādi, bez augsnes papildapstrādes
132;Sēšana ar pasēšanu (āboliņa, stiebrzāļu vai cita), kopā ar ecēšanu
133;Sēšana ar pasēšanu (āboliņa, stiebrzāļu vai cita), bez ecēšanas
135;Sēja kopā ar augsnes apstrādi sēklas dziļumā, bez minerālmēslu iestrādes
136;Sēja kopā ar augsnes apstrādi sēklas dziļumā, ar minerālmēslu iestrādi
137;Sēja kopā ar augsnes apstrādi 20 cm dziļumā, ar minerālmēslu iestrādi
139;Tiešsēja velēnā sēklas dzļumā
140;Pievelšana
150;Ecēšana
160;Minerālmēslu izkliedēšana (virssēja)
165;Smidzināšana (AAL, mikroelementi)
170;Organiskā mēslojuma izkliedēšana uz lauka virsmas
171;Šķidro organisko mēslu izliešana uz lauka virsmas bez iestrādes, (nokarenās caurules vai sprauslas)
172;Šķidro organisko mēslu izliešana uz lauka virsmas ar iestrādi (nokarenās caurules vai sprauslas)
173;Šķidro organisko mēslu inžekcija augsnē, jelkādā tās formā
174;Šķidro organisko mēslu izkliede bez iestrādes (deflektorplate)
180;Ražas novākšana, ar smalcinātu salmu izkliedēšanu
182;Ražas novākšana, bez salmu smalcināšanaas un izkliedēšanas
181;Salmu smalcināšana (ja nenotiek vienlaikus ar ražas novākšanu)
183;Salmu ieecēšana (izlīdzina un iejauc augsnē)
185;Salmu vai zāles rituļu presēšana
191;Vagu uzfrēzēšana kartupeļiem
192;Vagošana kartupeļiem 
193;Lakstu pļaušana kartupeļiem
194;Zālāju pļaušana
195;Zālāju vālošana
196;Nepresētas zāles novešana no lauka (pļaušana ar iekraušanu)
197;Rituļu ietīšana
198;Rituļu iekraušana, novešana no lauka
199;Atāla smalcināšana
220;Starpkultūras pievelšana un sadalīšana
